"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"ABM_Unit4_model7.nlogox"
"social-influence-experiment"
"07/08/2026 16:45:24:111 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","broadcast","density","social","frac-influential","m","network","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with  [adopted?]"
"2","0.01","0.3","0.1","0.25","100","random","0.7","46","83","65","18"
"5","0.01","0.3","0.1","0.25","100","random","0.7","29","46","34","12"
"2","0.01","0.3","0.1","0.25","100","random","0.7","47","84","65","19"
"2","0.01","0.3","0.1","0.25","100","random","0.7","48","85","66","19"
"2","0.01","0.3","0.1","0.25","100","random","0.7","49","88","68","20"
"5","0.01","0.3","0.1","0.25","100","random","0.7","30","49","37","12"
"2","0.01","0.3","0.1","0.25","100","random","0.7","50","90","70","20"
"2","0.01","0.3","0.1","0.25","100","random","0.7","51","91","71","20"
"2","0.01","0.3","0.1","0.25","100","random","0.7","52","91","71","20"
"5","0.01","0.3","0.1","0.25","100","random","0.7","31","53","39","14"
"2","0.01","0.3","0.1","0.25","100","random","0.7","53","92","71","21"
"2","0.01","0.3","0.1","0.25","100","random","0.7","54","93","71","22"
"2","0.01","0.3","0.1","0.25","100","random","0.7","55","93","71","22"
"2","0.01","0.3","0.1","0.25","100","random","0.7","56","94","72","22"
"5","0.01","0.3","0.1","0.25","100","random","0.7","32","58","41","17"
"2","0.01","0.3","0.1","0.25","100","random","0.7","57","94","72","22"
"2","0.01","0.3","0.1","0.25","100","random","0.7","58","94","72","22"
"2","0.01","0.3","0.1","0.25","100","random","0.7","59","95","73","22"
"2","0.01","0.3","0.1","0.25","100","random","0.7","60","97","74","23"
"5","0.01","0.3","0.1","0.25","100","random","0.7","33","58","41","17"
"3","0.01","0.3","0.1","0.25","100","random","0.7","13","15","12","3"
"2","0.01","0.3","0.1","0.25","100","random","0.7","61","97","74","23"
"2","0.01","0.3","0.1","0.25","100","random","0.7","62","97","74","23"
"7","0.01","0.3","0.1","0.25","100","random","0.7","0","0","0","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","63","97","74","23"
"2","0.01","0.3","0.1","0.25","100","random","0.7","64","97","74","23"
"2","0.01","0.3","0.1","0.25","100","random","0.7","65","97","74","23"
"5","0.01","0.3","0.1","0.25","100","random","0.7","34","61","44","17"
"2","0.01","0.3","0.1","0.25","100","random","0.7","66","97","74","23"
"2","0.01","0.3","0.1","0.25","100","random","0.7","67","97","74","23"
"2","0.01","0.3","0.1","0.25","100","random","0.7","68","97","74","23"
"2","0.01","0.3","0.1","0.25","100","random","0.7","69","97","74","23"
"2","0.01","0.3","0.1","0.25","100","random","0.7","70","97","74","23"
"5","0.01","0.3","0.1","0.25","100","random","0.7","35","64","47","17"
"2","0.01","0.3","0.1","0.25","100","random","0.7","71","97","74","23"
"2","0.01","0.3","0.1","0.25","100","random","0.7","72","98","74","24"
